epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0573,0,120.639,0,0,0,0,0,0,220.429,0,6e-05,6e-05,6e-05
2,32.38,0,114.562,0,0,0,0,0,0,220.553,0,0.00012614,0.00012614,0.00012614
3,48.6257,0,110.131,0,0,0,0,0,0,220.467,0,0.00017644,0.00017644,0.00017644
4,65.6292,0,104.171,0,0,0,0,0,0,220.107,0,0.0002109,0.0002109,0.0002109
5,81.5017,0,97.6458,0,0,0,0,0,0,219.943,0,0.00022952,0.00022952,0.00022952
6,97.4016,0,92.4072,0,0,0,0,0,0,219.646,0,0.0002323,0.0002323,0.0002323
7,113.408,0,88.3893,0,0,0,0,0,0,218.618,0,0.00021924,0.00021924,0.00021924
8,129.08,0,84.676,0,0,0,0,0,0,216.821,0,0.00019034,0.00019034,0.00019034
9,144.595,0,82.9913,0,0,0,0,0,0,215.12,0,0.0001456,0.0001456,0.0001456
10,160.707,0,81.5125,0,0,0,0,0,0,212.603,0,8.502e-05,8.502e-05,8.502e-05
