epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2658,3.71107,3.90384,4.32349,0.00128,0.125,0.00076,0.00035,2.93914,4.14062,4.15884,6e-05,6e-05,6e-05
2,26.0352,3.5,3.81215,4.28262,0.00128,0.125,0.00076,0.00037,2.93845,4.14201,4.15809,0.000136535,0.000136535,0.000136535
3,38.9145,3.80626,3.85432,4.29171,0.00128,0.125,0.00076,0.00031,2.93758,4.14446,4.15651,0.00020911,0.00020911,0.00020911
4,51.7945,3.54929,3.67018,4.24566,0.00128,0.125,0.00077,0.00036,2.93661,4.14533,4.1537,0.000277725,0.000277725,0.000277725
5,65.0014,3.47383,3.7367,4.2075,0.00128,0.125,0.00076,0.00037,2.9362,4.14516,4.15132,0.00034238,0.00034238,0.00034238
6,78.2766,3.44335,3.58585,4.20179,0.00128,0.125,0.0008,0.00035,2.93593,4.14426,4.1479,0.000403075,0.000403075,0.000403075
7,92.2038,3.64281,3.53397,4.15153,0.00128,0.125,0.00081,0.00031,2.93582,4.14386,4.14384,0.00045981,0.00045981,0.00045981
8,106.066,3.44603,3.56461,4.16022,0.00128,0.125,0.00086,0.00034,2.93585,4.1441,4.13897,0.000512585,0.000512585,0.000512585
9,120.37,3.33659,3.36245,4.11412,0.00128,0.125,0.00082,0.00033,2.93679,4.14273,4.13409,0.0005614,0.0005614,0.0005614
10,134.218,3.55129,3.48879,4.11003,0.00128,0.125,0.00078,0.00032,2.93844,4.13403,4.12944,0.000606255,0.000606255,0.000606255
11,148.204,3.18536,3.35058,4.02981,0.00128,0.125,0.00076,0.00029,2.94053,4.11701,4.12588,0.00064715,0.00064715,0.00064715
12,162.585,3.45862,3.36717,3.97065,0.00128,0.125,0.00076,0.00029,2.94549,4.10854,4.13054,0.000684085,0.000684085,0.000684085
13,176.512,3.19989,3.34025,3.92081,0.00128,0.125,0.00077,0.00034,2.95289,4.11026,4.14454,0.00071706,0.00071706,0.00071706
14,190.28,3.22824,3.42627,3.86377,0.00128,0.125,0.00078,0.00034,2.9561,4.1087,4.15229,0.000746075,0.000746075,0.000746075
15,203.724,3.27776,3.46618,3.85042,0.00128,0.125,0.00079,0.00036,2.95854,4.07632,4.16628,0.00077113,0.00077113,0.00077113
16,216.846,3.14652,3.34335,3.79435,0.00128,0.125,0.00079,0.00033,2.95899,4.04746,4.17426,0.000792225,0.000792225,0.000792225
17,230.441,3.29483,3.19959,3.71164,0.00128,0.125,0.00079,0.00031,2.96199,4.01943,4.18225,0.00080936,0.00080936,0.00080936
18,243.915,3.14495,3.33049,3.72477,0.00128,0.125,0.00079,0.0003,2.95951,4.02641,4.20248,0.000822535,0.000822535,0.000822535
19,257.583,3.21116,3.0911,3.62419,0.00128,0.125,0.00079,0.0003,2.9634,4.0461,4.22151,0.00083175,0.00083175,0.00083175
20,271.823,3.09546,3.08049,3.53675,0.00128,0.125,0.00083,0.00029,2.96195,4.04715,4.22374,0.000837005,0.000837005,0.000837005
21,285.986,3.13559,3.09454,3.46398,0.00154,0.15,0.00103,0.0004,2.93787,4.00205,4.20107,0.0008383,0.0008383,0.0008383
22,299.385,3.02762,3.13435,3.52044,0.00179,0.175,0.00121,0.00051,2.9037,3.84918,4.09453,0.000835635,0.000835635,0.000835635
23,312.974,2.96638,3.1443,3.37427,0.00256,0.25,0.00226,0.00089,2.85189,3.70725,3.94589,0.00082901,0.00082901,0.00082901
24,326.763,2.92783,3.02089,3.36006,0.00487,0.475,0.03269,0.00849,2.74899,3.54273,3.71414,0.000818425,0.000818425,0.000818425
25,340.986,2.91561,3.27297,3.38045,0.0059,0.575,0.01598,0.00676,2.65521,3.53351,3.58286,0.00080388,0.00080388,0.00080388
26,354.497,2.73667,3.0274,3.28024,0.0041,0.4,0.00597,0.00212,2.76979,3.7106,3.65068,0.0007625,0.0007625,0.0007625
27,367.486,2.88374,3.00986,3.24304,0.00385,0.375,0.00867,0.00227,2.86489,3.76689,3.68609,0.000713,0.000713,0.000713
28,381.306,2.80066,3.10521,3.22745,0.00359,0.35,0.01012,0.00262,2.89137,3.79985,3.71579,0.0006635,0.0006635,0.0006635
29,395.468,2.73558,2.80821,3.09648,0.00385,0.375,0.01032,0.00259,2.92913,3.74126,3.68673,0.000614,0.000614,0.000614
30,409.009,2.86327,3.04094,3.27017,0.01274,0.075,0.0062,0.00143,2.94356,3.87129,3.61937,0.0005645,0.0005645,0.0005645
31,422.286,2.50649,3.19738,3.05138,0.00737,0.05,0.00526,0.00149,2.86473,4.14862,3.52525,0.000515,0.000515,0.000515
32,435.49,2.3583,3.1541,3.02432,0.00806,0.05,0.00521,0.00169,2.76469,4.31708,3.42519,0.0004655,0.0004655,0.0004655
33,448.643,2.51664,3.12413,2.94046,0.00975,0.1,0.00652,0.00194,2.66246,4.10385,3.34079,0.000416,0.000416,0.000416
34,461.775,2.43179,3.10438,2.96568,0.00882,0.075,0.00684,0.00188,2.52712,4.00718,3.2917,0.0003665,0.0003665,0.0003665
35,475.562,2.49738,3.14371,2.90053,0.01084,0.075,0.00747,0.00226,2.49035,3.86543,3.27979,0.000317,0.000317,0.000317
36,489.899,2.39519,3.05323,2.92815,0.02144,0.15,0.01038,0.00308,2.47524,3.73297,3.29271,0.0002675,0.0002675,0.0002675
37,503.497,2.41661,2.97857,2.86579,0.02776,0.125,0.01132,0.00375,2.45648,3.68329,3.28762,0.000218,0.000218,0.000218
38,516.825,2.41614,2.92682,2.85016,0.01742,0.075,0.01264,0.00426,2.452,3.61987,3.266,0.0001685,0.0001685,0.0001685
39,530.227,2.41589,2.94241,2.80799,0.09982,0.05,0.02673,0.00883,2.45151,3.55067,3.23968,0.000119,0.000119,0.000119
40,543.376,2.30639,3.03029,2.90117,0.19543,0.05,0.05295,0.02741,2.43514,3.48924,3.22246,6.95e-05,6.95e-05,6.95e-05
